AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_23-00-09,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,23:0:9:146,   17.79,    1.26,    1.52,    1.09,    1.53,    1.34,    1.68
2,23:0:9:253,   17.81,    1.45,    1.48,    1.59,    1.45,    1.49,    0.92
4,23:0:9:469,   15.58,    1.35,    1.41,    0.34,    1.33,    1.98,    0.94
5,23:0:9:577,   16.21,    1.81,    1.93,    0.02,    1.74,    1.10,    0.01
6,23:0:9:686,   20.62,    2.45,    2.60,    1.35,    1.99,    1.49,    0.18
7,23:0:9:793,   18.59,    1.51,    1.61,    1.41,    1.57,    2.55,    1.70
8,23:0:9:900,   18.83,    1.65,    1.92,    1.51,    1.61,    1.41,    0.82
9,23:0:10:006,   20.43,    2.05,    1.96,    1.71,    1.63,    1.76,    1.71
10,23:0:10:107,   21.61,    2.02,    1.77,    1.77,    2.65,    1.90,    1.95
11,23:0:10:216,   24.67,    3.05,    2.04,    2.69,    2.78,    1.96,    2.44
12,23:0:10:325,   22.05,    2.42,    2.56,    2.18,    2.61,    2.51,    1.56
13,23:0:10:433,   22.73,    2.47,    2.81,    2.27,    2.53,    2.08,    1.57
14,23:0:10:540,   22.06,    2.44,    2.84,    1.78,    2.00,    2.17,    1.90
15,23:0:10:647,   20.22,    2.02,    2.91,    1.99,    1.91,    2.05,    0.04
17,23:0:10:856,   18.66,    1.95,    1.92,    1.60,    1.63,    1.64,    0.27
18,23:0:10:962,   21.38,    2.04,    1.95,    2.06,    1.80,    2.00,    2.10
19,23:0:11:070,   19.64,    1.88,    1.93,    1.26,    1.93,    2.12,    0.85
20,23:0:11:178,   15.86,    1.23,    1.35,    1.24,    2.03,    1.76,    0.01
21,23:0:11:278,   14.94,    1.54,    1.43,    0.41,    1.97,    1.20,    0.03
22,23:0:11:386,   16.19,    1.61,    1.46,    1.13,    1.46,    1.38,    0.07
23,23:0:11:494,   22.19,    2.26,    2.29,    2.04,    1.55,    1.23,    1.55
24,23:0:11:601,   21.32,    2.07,    2.26,    2.07,    2.24,    2.18,    1.80
25,23:0:11:701,   19.81,    1.86,    1.83,    1.60,    2.06,    2.19,    1.46
26,23:0:11:808,   18.56,    1.73,    1.85,    1.41,    1.68,    1.84,    0.93
27,23:0:11:916,   22.16,    2.32,    2.14,    2.11,    1.86,    1.61,    1.66
28,23:0:12:023,   26.46,    3.29,    3.38,    3.35,    2.05,    2.28,    2.87
29,23:0:12:132,   21.13,    1.91,    2.00,    1.72,    3.06,    3.29,    1.57
30,23:0:12:241,   20.77,    2.09,    1.95,    1.63,    2.66,    1.71,    1.72
31,23:0:12:349,   19.36,    2.12,    2.09,    2.12,    1.80,    1.87,    0.59
32,23:0:12:449,   20.77,    1.58,    1.99,    2.10,    2.28,    1.72,    1.96
34,23:0:12:665,   22.02,    2.11,    1.78,    2.19,    1.85,    1.77,    1.77
35,23:0:12:772,   22.61,    2.35,    2.50,    2.33,    2.02,    2.11,    1.18
36,23:0:12:882,   21.53,    2.24,    2.47,    1.87,    1.91,    2.20,    1.99
37,23:0:12:989,   21.66,    2.25,    2.06,    2.20,    1.87,    2.08,    1.65
38,23:0:13:095,   22.78,    2.00,    2.25,    1.82,    1.85,    2.11,    2.03
39,23:0:13:204,   21.67,    2.01,    2.10,    1.78,    2.34,    2.02,    2.20
40,23:0:13:312,   20.49,    1.91,    2.41,    2.20,    1.78,    2.00,    1.64
41,23:0:13:420,   21.52,    2.23,    1.80,    2.02,    1.94,    2.12,    1.56
42,23:0:13:528,   24.96,    2.97,    2.07,    2.79,    1.94,    2.13,    2.40
43,23:0:13:636,   24.90,    2.70,    2.23,    2.95,    2.84,    2.73,    2.55
44,23:0:13:744,   23.01,    2.54,    2.17,    2.52,    2.69,    2.64,    2.15
45,23:0:13:850,   21.40,    2.26,    2.48,    2.20,    2.57,    2.40,    1.97
46,23:0:13:957,   22.13,    2.35,    2.24,    2.21,    2.05,    1.93,    2.05
47,23:0:14:063,   19.04,    2.04,    2.39,    1.66,    2.72,    2.19,    1.80
48,23:0:14:171,   21.13,    1.68,    1.98,    1.49,    1.78,    1.29,    2.20
49,23:0:14:272,   20.04,    1.90,    2.92,    1.79,    2.23,    1.91,    0.93
50,23:0:14:379,   18.10,    1.58,    2.27,    1.53,    2.52,    1.73,    0.16
51,23:0:14:486,   20.18,    1.78,    2.19,    1.76,    2.73,    1.39,    1.51
52,23:0:14:586,   19.11,    1.96,    2.73,    1.84,    2.03,    1.76,    0.88
53,23:0:14:695,   17.60,    1.63,    2.40,    1.76,    1.67,    1.71,    0.01
54,23:0:14:803,   15.81,    1.19,    1.61,    1.06,    2.05,    1.58,    0.03
55,23:0:14:911,   15.13,    1.11,    1.60,    0.97,    1.81,    0.98,    0.02
56,23:0:15:019,   13.08,    1.17,    1.28,    0.02,    1.61,    1.35,    0.02
57,23:0:15:126,   13.54,    1.15,    1.33,    0.02,    1.19,    0.93,    0.02
58,23:0:15:234,   13.06,    1.12,    1.24,    0.02,    1.17,    1.16,    0.02
59,23:0:15:342,   15.79,    1.65,    1.13,    0.01,    1.14,    1.07,    0.01
60,23:0:15:452,   18.81,    1.94,    1.88,    1.53,    1.73,    1.40,    0.08
61,23:0:15:559,   16.63,    1.81,    2.28,    0.85,    1.90,    1.39,    0.02
62,23:0:15:669,   16.82,    1.28,    1.46,    0.93,    1.57,    1.69,    0.05
63,23:0:15:776,   16.01,    1.21,    1.92,    0.76,    1.93,    1.30,    0.02
64,23:0:15:883,   13.53,    1.28,    1.48,    0.02,    2.12,    1.25,    0.02
65,23:0:15:991,   14.61,    1.20,    1.61,    0.01,    1.38,    1.01,    0.01
66,23:0:16:097,   13.66,    1.28,    1.51,    0.01,    1.43,    1.31,    0.01
67,23:0:16:207,   16.58,    1.39,    1.44,    1.02,    1.13,    1.15,    0.01
68,23:0:16:315,   18.37,    1.76,    1.84,    1.30,    1.81,    1.62,    0.01
69,23:0:16:421,   19.10,    2.02,    2.22,    1.51,    2.25,    1.72,    0.69
70,23:0:16:529,   17.85,    1.33,    2.28,    1.22,    1.61,    1.62,    1.39
71,23:0:16:634,   20.78,    1.92,    1.57,    1.58,    1.78,    1.36,    1.61
72,23:0:16:741,   20.44,    1.97,    1.84,    1.67,    2.12,    1.75,    1.33
73,23:0:16:849,   18.08,    1.53,    2.30,    1.34,    2.17,    1.68,    1.04
74,23:0:16:957,   17.95,    1.71,    2.08,    1.47,    1.90,    1.45,    0.01
75,23:0:17:064,   16.72,    1.47,    2.37,    1.09,    1.65,    1.68,    0.03
76,23:0:17:171,   18.29,    1.77,    2.21,    1.63,    1.66,    1.24,    0.23
77,23:0:17:280,   23.61,    2.62,    2.22,    1.96,    1.77,    1.64,    2.06
78,23:0:17:386,   24.21,    2.55,    2.88,    1.97,    2.89,    2.34,    1.74
79,23:0:17:495,   20.86,    2.14,    3.08,    1.52,    3.14,    2.51,    1.56
80,23:0:17:601,   23.32,    2.56,    2.69,    2.05,    2.90,    1.63,    1.63
81,23:0:17:710,   24.64,    2.66,    2.61,    2.32,    2.92,    2.40,    2.03
82,23:0:17:818,   19.86,    1.95,    3.07,    1.50,    3.09,    2.34,    0.01
83,23:0:17:924,   19.02,    2.22,    2.92,    1.70,    3.10,    1.78,    0.01
84,23:0:18:032,   23.45,    2.58,    2.56,    2.27,    2.12,    1.66,    1.25
85,23:0:18:140,   21.12,    2.05,    3.08,    2.06,    2.94,    2.06,    1.64
86,23:0:18:247,   19.92,    1.76,    2.24,    1.84,    2.73,    1.81,    1.44
87,23:0:18:356,   17.46,    1.64,    1.96,    1.38,    1.80,    1.30,    0.14
88,23:0:18:465,   16.70,    1.16,    1.80,    1.31,    1.90,    1.26,    0.96
89,23:0:18:570,   19.95,    2.01,    1.82,    1.67,    1.53,    1.28,    1.46
90,23:0:18:677,   24.78,    2.94,    1.72,    2.34,    2.32,    1.64,    2.21
91,23:0:18:785,   24.07,    2.83,    2.57,    2.59,    2.79,    2.49,    2.43
92,23:0:18:892,   22.54,    2.60,    2.39,    2.18,    2.89,    2.88,    2.09
93,23:0:18:997,   22.14,    2.39,    2.46,    1.98,    2.68,    2.59,    1.86
94,23:0:19:102,   25.75,    3.19,    2.55,    3.18,    2.48,    1.97,    2.84
95,23:0:19:211,   22.65,    2.22,    2.97,    2.04,    3.10,    3.23,    1.82
96,23:0:19:317,   22.04,    2.22,    2.76,    1.98,    2.63,    2.26,    1.66
97,23:0:19:425,   19.06,    1.79,    2.61,    1.45,    2.50,    2.04,    0.86
98,23:0:19:532,   24.16,    2.61,    1.99,    2.66,    2.12,    1.48,    2.32
99,23:0:19:637,   20.19,    1.73,    2.49,    2.08,    2.49,    2.65,    1.89
100,23:0:19:744,   23.08,    2.50,    1.78,    1.96,    1.58,    1.92,    1.20
101,23:0:19:852,   20.62,    2.01,    2.74,    2.60,    2.54,    2.25,    1.94
102,23:0:19:960,   17.63,    1.77,    2.09,    1.71,    2.33,    2.54,    0.01
103,23:0:20:068,   16.80,    1.53,    1.90,    1.57,    1.71,    1.48,    0.01
104,23:0:20:176,   22.07,    2.33,    1.48,    1.76,    1.54,    1.61,    1.17
105,23:0:20:283,   19.05,    1.46,    2.94,    1.56,    2.48,    2.09,    1.68
106,23:0:20:390,   13.75,    1.04,    1.71,    0.94,    2.22,    1.57,    0.02
107,23:0:20:500,   15.62,    1.19,    1.37,    0.73,    1.12,    1.18,    1.07
108,23:0:20:607,   16.36,    1.39,    1.21,    0.75,    1.33,    1.14,    0.97
109,23:0:20:707,   16.67,    1.76,    1.62,    0.02,    1.64,    1.08,    0.02
110,23:0:20:815,   17.35,    2.01,    1.98,    0.01,    1.59,    1.48,    0.01
111,23:0:20:915,   15.75,    1.45,    2.40,    0.42,    2.26,    2.09,    0.01
112,23:0:21:025,   14.03,    1.34,    1.39,    0.89,    1.54,    1.60,    0.03
113,23:0:21:125,   13.33,    1.35,    1.16,    0.09,    1.41,    0.99,    0.01
114,23:0:21:225,   15.13,    1.83,    1.53,    0.01,    1.46,    0.16,    0.01
115,23:0:21:326,   12.32,    1.21,    1.79,    0.01,    2.20,    0.01,    0.01
116,23:0:21:426,   11.10,    1.04,    1.38,    0.01,    1.34,    0.01,    0.07
117,23:0:21:526,   16.66,    1.97,    1.12,    0.75,    0.99,    0.03,    0.06
118,23:0:21:634,   18.05,    2.26,    1.56,    1.55,    1.67,    1.31,    0.02
119,23:0:21:741,   19.47,    1.84,    2.17,    1.93,    1.81,    1.76,    0.02
120,23:0:21:850,   21.78,    2.98,    1.95,    2.28,    2.28,    1.43,    1.09
121,23:0:21:956,   21.65,    2.35,    2.70,    2.20,    2.78,    2.39,    2.37
122,23:0:22:063,   13.75,    0.97,    2.50,    0.63,    2.57,    2.29,    0.13
123,23:0:22:170,   13.81,    1.19,    1.30,    0.25,    1.26,    0.78,    0.01
124,23:0:22:277,   15.61,    1.18,    1.54,    0.03,    1.27,    0.93,    0.03
125,23:0:22:386,   17.73,    1.53,    2.28,    1.37,    1.69,    1.19,    0.59
126,23:0:22:495,   12.76,    1.00,    1.96,    0.29,    2.01,    1.28,    0.44
127,23:0:22:603,   14.29,    1.47,    1.20,    0.01,    1.15,    0.55,    0.01
128,23:0:22:711,   15.18,    1.33,    1.56,    0.01,    1.58,    0.60,    0.02
129,23:0:22:811,   14.52,    1.09,    2.34,    0.03,    1.75,    1.38,    0.01
130,23:0:22:911,   13.66,    1.57,    1.93,    0.01,    1.79,    0.96,    0.01
131,23:0:23:019,   12.68,    1.09,    1.44,    0.01,    1.44,    0.63,    0.01
132,23:0:23:120,   12.70,    1.08,    1.24,    0.03,    1.39,    0.97,    0.04
133,23:0:23:230,   11.18,    0.88,    1.02,    0.01,    0.98,    0.76,    0.01
134,23:0:23:330,   15.91,    1.57,    1.12,    0.01,    0.97,    0.35,    0.01
135,23:0:23:435,   17.63,    2.02,    1.72,    0.05,    1.92,    0.92,    0.08
136,23:0:23:544,   16.56,    1.41,    2.03,    1.27,    2.62,    1.64,    0.03
137,23:0:23:653,   12.59,    1.03,    1.42,    0.21,    1.60,    1.54,    0.01
138,23:0:23:753,   11.74,    1.17,    1.36,    0.01,    1.35,    0.34,    0.01
139,23:0:23:860,   12.05,    1.05,    1.09,    0.01,    1.13,    0.01,    0.03
140,23:0:23:970,   16.38,    1.87,    1.22,    0.01,    1.19,    0.01,    0.01
141,23:0:24:070,   16.03,    1.36,    2.18,    0.01,    2.22,    1.24,    0.03
142,23:0:24:171,   11.23,    0.90,    1.95,    0.01,    1.71,    1.36,    0.01
143,23:0:24:278,   14.43,    1.16,    0.88,    0.05,    0.90,    0.66,    0.01
144,23:0:24:386,   14.65,    1.12,    1.31,    0.01,    1.77,    1.15,    0.01
145,23:0:24:485,   15.31,    1.77,    2.45,    0.03,    1.99,    0.73,    0.10
146,23:0:24:586,   13.48,    1.22,    1.65,    0.02,    1.87,    0.67,    0.02
147,23:0:24:692,   11.73,    1.00,    1.19,    0.01,    1.39,    0.93,    0.01
148,23:0:24:793,   12.35,    1.03,    1.11,    0.01,    1.02,    0.75,    0.03
149,23:0:24:901,   13.58,    1.50,    1.17,    0.03,    1.19
