AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-17-2026_00-40-47,
Profile Duration:,180 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,0:40:47:302,   17.51,    1.58,    2.07,    1.42,    1.98,    1.49,    0.74
3,0:40:47:507,   17.51,    1.32,    2.06,    1.02,    2.18,    1.30,    1.36
4,0:40:47:616,   16.02,    1.53,    1.35,    0.96,    2.17,    1.25,    0.02
5,0:40:47:725,   16.56,    1.37,    1.69,    1.17,    2.64,    1.16,    0.01
6,0:40:47:834,   15.58,    1.11,    1.82,    0.82,    2.45,    0.96,    0.04
7,0:40:47:935,   15.00,    1.17,    1.89,    0.01,    2.33,    0.91,    0.01
8,0:40:48:041,   15.59,    1.30,    1.90,    0.01,    2.42,    1.06,    0.00
9,0:40:48:149,   15.24,    1.29,    1.98,    0.02,    1.68,    1.04,    0.00
10,0:40:48:258,   15.90,    1.28,    2.87,    0.60,    2.49,    1.20,    0.00
11,0:40:48:366,   12.90,    0.92,    2.01,    0.41,    1.51,    0.50,    0.02
12,0:40:48:474,   11.32,    0.97,    1.15,    0.01,    1.21,    0.01,    0.01
13,0:40:48:582,   13.80,    1.42,    1.20,    0.01,    1.53,    0.57,    0.00
14,0:40:48:689,   15.16,    1.76,    1.37,    0.01,    1.68,    1.46,    0.02
15,0:40:48:797,   14.50,    1.37,    1.64,    0.99,    1.35,    1.22,    0.02
16,0:40:48:904,   12.04,    1.02,    1.41,    0.44,    1.11,    0.46,    0.07
17,0:40:49:010,   11.64,    1.17,    1.16,    0.00,    1.36,    0.00,    0.00
18,0:40:49:110,   11.50,    1.14,    1.45,    0.01,    1.40,    0.01,    0.01
19,0:40:49:218,   12.80,    1.22,    1.04,    0.00,    1.45,    0.85,    0.01
20,0:40:49:326,   11.70,    0.91,    1.23,    0.00,    0.98,    0.75,    0.00
21,0:40:49:435,   11.46,    0.91,    1.20,    0.00,    0.94,    0.66,    0.00
22,0:40:49:534,   17.86,    1.70,    1.05,    1.49,    1.87,    1.74,    0.56
23,0:40:49:641,   13.17,    0.85,    1.69,    0.59,    1.17,    0.63,    0.71
24,0:40:49:747,   13.11,    1.13,    1.10,    0.01,    1.18,    1.22,    0.00
25,0:40:49:852,   13.30,    1.29,    1.30,    0.01,    1.29,    1.06,    0.05
26,0:40:49:960,   13.16,    1.09,    1.37,    0.14,    1.07,    1.18,    0.00
27,0:40:50:069,   10.62,    0.70,    1.16,    0.44,    0.78,    0.60,    0.00
28,0:40:50:176,   13.28,    1.23,    0.75,    0.12,    1.45,    0.11,    0.03
29,0:40:50:286,   12.48,    1.12,    1.66,    0.00,    1.23,    0.45,    0.00
30,0:40:50:395,   12.67,    1.09,    1.27,    0.03,    1.16,    0.91,    0.03
31,0:40:50:495,   12.39,    0.94,    1.42,    0.00,    1.06,    0.83,    0.00
32,0:40:50:596,   13.80,    1.20,    1.01,    0.02,    1.47,    1.09,    0.02
33,0:40:50:705,   11.78,    0.97,    1.15,    0.01,    0.92,    0.77,    0.00
34,0:40:50:805,   14.96,    1.43,    1.14,    0.34,    1.75,    1.40,    0.02
35,0:40:50:912,   13.78,    1.07,    1.77,    0.99,    1.17,    1.04,    0.05
36,0:40:51:012,   12.30,    0.93,    1.50,    0.63,    1.04,    0.67,    0.01
37,0:40:51:121,   11.86,    1.06,    1.17,    0.21,    1.06,    0.38,    0.01
38,0:40:51:223,   11.54,    0.95,    0.97,    0.01,    1.46,    0.74,    0.01
39,0:40:51:331,   11.69,    0.86,    1.01,    0.00,    0.94,    0.76,    0.00
40,0:40:51:438,   10.86,    0.78,    0.94,    0.00,    0.86,    0.63,    0.01
41,0:40:51:545,   14.64,    1.17,    1.03,    0.03,    1.65,    0.24,    0.02
42,0:40:51:645,   11.58,    0.78,    2.26,    0.01,    1.38,    0.58,    0.00
43,0:40:51:755,   12.04,    1.12,    1.04,    0.00,    1.13,    0.24,    0.00
44,0:40:51:861,   10.81,    0.84,    1.17,    0.00,    1.10,    0.15,    0.06
45,0:40:51:969,   11.59,    0.93,    1.20,    0.00,    1.00,    0.88,    0.00
46,0:40:52:070,   10.79,    0.80,    1.01,    0.00,    0.95,    0.22,    0.00
47,0:40:52:177,   12.79,    1.36,    0.91,    0.04,    1.77,    0.01,    0.03
48,0:40:52:283,   11.16,    1.07,    1.48,    0.00,    1.01,    0.00,    0.00
49,0:40:52:385,   12.21,    1.24,    1.02,    0.00,    1.52,    0.00,    0.01
50,0:40:52:485,   12.09,    1.22,    1.43,    0.02,    1.13,    0.02,    0.01
51,0:40:52:591,   12.95,    1.22,    1.09,    0.00,    1.50,    0.71,    0.01
52,0:40:52:691,   12.25,    0.95,    1.43,    0.01,    1.32,    0.48,    0.01
53,0:40:52:797,   10.91,    0.95,    1.17,    0.01,    1.13,    0.01,    0.01
54,0:40:52:897,   11.50,    0.99,    1.17,    0.01,    1.15,    0.48,    0.05
55,0:40:53:005,   11.09,    0.86,    1.07,    0.00,    0.99,    0.60,    0.01
56,0:40:53:105,   12.04,    1.15,    1.14,    0.00,    1.34,    0.00,    0.00
57,0:40:53:204,   11.81,    1.00,    1.55,    0.02,    1.16,    0.01,    0.01
58,0:40:53:312,   11.38,    0.98,    1.36,    0.01,    1.17,    0.01,    0.01
59,0:40:53:421,   11.60,    1.16,    1.23,    0.00,    1.30,    0.00,    0.00
60,0:40:53:529,   12.55,    1.31,    1.23,    0.02,    1.47,    0.02,    0.01
61,0:40:53:629,   13.18,    0.97,    1.50,    0.01,    1.40,    0.98,    0.00
62,0:40:53:737,   10.75,    0.80,    1.21,    0.00,    0.91,    0.24,    0.00
63,0:40:53:846,   12.37,    1.27,    1.02,    0.01,    1.35,    0.20,    0.00
64,0:40:53:955,   12.40,    1.10,    1.38,    0.01,    1.23,    0.85,    0.06
65,0:40:54:062,   11.52,    0.97,    1.29,    0.01,    1.04,    0.30,    0.02
66,0:40:54:170,   12.25,    1.16,    1.11,    0.00,    1.31,    0.00,    0.00
67,0:40:54:278,   11.07,    1.02,    1.64,    0.02,    1.05,    0.01,    0.02
68,0:40:54:387,   12.21,    1.07,    1.16,    0.01,    1.17,    0.01,    0.01
69,0:40:54:495,   11.46,    0.97,    1.29,    0.02,    1.26,    0.01,    0.01
70,0:40:54:595,   13.09,    1.34,    1.28,    0.00,    1.53,    0.00,    0.00
71,0:40:54:703,   11.48,    1.11,    1.53,    0.00,    1.14,    0.01,    0.01
72,0:40:54:811,   11.34,    1.06,    1.20,    0.01,    1.15,    0.01,    0.00
73,0:40:54:918,   10.78,    0.90,    1.30,    0.01,    0.93,    0.38,    0.04
74,0:40:55:027,   11.58,    0.89,    0.96,    0.01,    0.96,    0.67,    0.00
75,0:40:55:137,   11.55,    1.06,    1.09,    0.01,    1.26,    0.00,    0.01
76,0:40:55:237,   12.50,    0.96,    1.32,    0.00,    1.27,    0.81,    0.00
77,0:40:55:344,   13.20,    1.12,    1.18,    0.03,    1.14,    1.01,    0.03
78,0:40:55:445,   12.97,    1.02,    1.50,    0.01,    1.25,    0.72,    0.01
79,0:40:55:552,   13.91,    1.19,    1.50,    0.01,    1.44,    1.09,    0.00
80,0:40:55:652,   11.93,    0.86,    1.46,    0.02,    1.19,    0.91,    0.00
81,0:40:55:752,   11.71,    0.94,    1.10,    0.00,    0.98,    0.72,    0.00
82,0:40:55:853,   11.00,    0.82,    1.04,    0.01,    1.00,    0.65,    0.00
83,0:40:55:960,   11.00,    1.03,    0.89,    0.01,    1.11,    0.04,    0.05
84,0:40:56:069,   11.95,    1.06,    1.12,    0.02,    1.30,    0.02,    0.02
85,0:40:56:177,   12.15,    1.06,    1.16,    0.00,    1.40,    0.00,    0.00
86,0:40:56:279,   12.05,    1.14,    1.66,    0.01,    1.27,    0.01,    0.00
87,0:40:56:386,   11.27,    1.00,    1.33,    0.01,    1.16,    0.01,    0.02
88,0:40:56:494,   13.40,    1.54,    1.12,    0.01,    1.41,    0.59,    0.00
89,0:40:56:603,   14.52,    1.43,    1.50,    0.01,    1.52,    1.07,    0.02
90,0:40:56:710,   18.19,    2.19,    2.00,    1.29,    2.05,    2.09,    0.20
