AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-17-2026_00-39-58,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,0:39:58:641,   18.37,    1.95,    2.05,    0.66,    1.85,    1.42,    0.89
2,0:39:58:747,   17.76,    1.69,    1.71,    0.72,    2.39,    1.38,    0.02
3,0:39:58:854,   18.60,    1.54,    1.65,    1.65,    2.44,    1.44,    0.01
4,0:39:58:962,   17.97,    1.42,    1.71,    1.25,    2.43,    1.29,    0.03
5,0:39:59:067,   15.49,    1.25,    1.55,    0.90,    1.55,    1.25,    0.01
6,0:39:59:175,   13.68,    1.25,    1.37,    0.02,    1.37,    1.01,    0.03
7,0:39:59:274,   14.34,    1.33,    1.40,    0.01,    1.37,    1.10,    0.02
8,0:39:59:382,   13.95,    1.28,    1.26,    0.03,    1.41,    1.27,    0.02
9,0:39:59:482,   14.17,    1.36,    1.42,    0.01,    1.30,    1.14,    0.01
10,0:39:59:590,   15.42,    1.28,    1.43,    0.44,    1.52,    1.26,    0.08
11,0:39:59:696,   15.62,    1.32,    1.41,    1.23,    1.39,    1.08,    0.01
12,0:39:59:805,   17.91,    1.94,    1.90,    0.94,    1.99,    1.85,    0.03
13,0:39:59:910,   19.84,    2.07,    2.71,    1.62,    1.88,    1.86,    1.25
14,0:40:0:019,   19.12,    1.74,    1.86,    1.53,    1.66,    1.60,    1.42
15,0:40:0:125,   21.14,    2.30,    2.59,    1.78,    1.90,    1.91,    1.51
16,0:40:0:232,   20.83,    2.22,    2.42,    1.83,    2.05,    1.85,    1.60
17,0:40:0:341,   17.88,    1.62,    1.57,    1.39,    1.53,    1.42,    1.23
18,0:40:0:450,   17.08,    1.15,    1.36,    1.08,    1.51,    1.23,    1.36
19,0:40:0:559,   18.98,    1.56,    1.76,    1.33,    1.44,    1.34,    1.46
20,0:40:0:666,   16.86,    1.38,    1.25,    0.95,    1.33,    1.35,    1.50
21,0:40:0:774,   15.29,    1.23,    1.37,    0.91,    1.19,    0.93,    1.11
22,0:40:0:881,   19.11,    2.18,    1.98,    1.36,    2.23,    2.04,    0.02
23,0:40:0:989,   15.40,    1.30,    1.37,    1.24,    1.24,    1.48,    0.02
24,0:40:1:098,   16.66,    1.55,    1.49,    1.60,    1.59,    1.49,    0.02
25,0:40:1:206,   16.86,    1.21,    1.59,    1.15,    1.46,    1.16,    1.52
26,0:40:1:315,   18.06,    1.49,    2.25,    1.51,    1.79,    1.50,    0.61
27,0:40:1:423,   17.23,    1.63,    1.76,    1.39,    1.78,    1.45,    0.02
28,0:40:1:532,   18.79,    2.06,    1.75,    1.86,    2.24,    1.69,    0.01
29,0:40:1:632,   18.15,    1.64,    1.52,    1.25,    1.85,    1.49,    1.19
30,0:40:1:740,   20.67,    1.92,    2.28,    1.47,    2.80,    1.66,    1.64
31,0:40:1:847,   20.47,    1.88,    2.18,    1.29,    2.98,    1.55,    1.48
32,0:40:1:947,   19.46,    1.66,    2.22,    1.45,    2.92,    1.50,    0.54
33,0:40:2:048,   19.68,    1.71,    2.12,    1.40,    2.46,    1.65,    0.92
34,0:40:2:155,   21.13,    1.99,    2.53,    1.63,    2.56,    1.71,    1.66
35,0:40:2:263,   22.62,    2.37,    2.61,    1.88,    3.32,    1.75,    1.62
36,0:40:2:363,   19.52,    1.43,    2.67,    1.28,    2.47,    1.37,    1.78
37,0:40:2:471,   21.60,    1.95,    2.36,    1.81,    2.40,    1.84,    1.69
38,0:40:2:571,   20.83,    1.85,    1.96,    2.08,    2.73,    1.88,    2.05
39,0:40:2:679,   26.59,    2.70,    2.39,    3.19,    3.15,    3.26,    3.12
40,0:40:2:785,   21.32,    1.89,    2.49,    1.78,    2.38,    1.75,    1.60
41,0:40:2:885,   19.82,    1.99,    2.03,    1.89,    2.67,    1.90,    0.02
42,0:40:2:991,   19.19,    2.17,    2.38,    1.20,    2.53,    2.19,    0.03
43,0:40:3:100,   17.94,    1.57,    1.54,    1.44,    1.57,    1.52,    1.21
44,0:40:3:208,   19.14,    1.60,    2.25,    1.41,    2.15,    1.46,    1.22
45,0:40:3:316,   20.25,    1.79,    2.48,    1.47,    2.90,    1.47,    1.04
46,0:40:3:425,   21.24,    1.96,    2.64,    1.64,    2.68,    1.71,    2.01
47,0:40:3:525,   21.56,    2.01,    2.20,    1.79,    2.26,    1.86,    1.66
48,0:40:3:633,   20.85,    1.91,    2.00,    1.54,    2.43,    1.65,    1.47
49,0:40:3:734,   20.75,    2.01,    2.59,    2.00,    2.67,    1.86,    0.89
50,0:40:3:842,   24.08,    2.57,    2.78,    2.41,    2.39,    2.47,    2.16
51,0:40:3:949,   22.27,    2.60,    2.37,    1.88,    2.66,    2.12,    1.80
52,0:40:4:056,   20.36,    1.87,    2.57,    1.53,    1.82,    1.67,    1.59
53,0:40:4:164,   17.37,    1.59,    1.70,    1.10,    1.41,    1.21,    1.26
54,0:40:4:264,   14.68,    1.03,    1.01,    0.70,    1.06,    0.72,    1.03
55,0:40:4:364,   15.22,    1.25,    1.42,    1.24,    1.42,    1.23,    0.31
56,0:40:4:472,   15.10,    1.29,    1.52,    0.57,    1.38,    1.18,    0.01
57,0:40:4:579,   16.01,    1.65,    1.79,    0.02,    1.64,    1.33,    0.08
58,0:40:4:688,   14.91,    1.64,    1.59,    0.01,    1.69,    1.33,    0.01
59,0:40:4:788,   17.17,    1.85,    1.91,    1.63,    1.69,    1.62,    0.03
60,0:40:4:896,   15.82,    1.41,    1.30,    1.05,    1.69,    1.16,    0.01
61,0:40:4:996,   13.94,    1.11,    1.34,    1.02,    1.58,    1.23,    0.01
62,0:40:5:096,   15.21,    1.25,    1.17,    1.17,    1.31,    1.02,    0.01
63,0:40:5:202,   15.15,    1.38,    1.18,    1.27,    1.36,    1.17,    0.04
64,0:40:5:308,   16.14,    1.32,    1.42,    1.36,    1.51,    1.53,    0.03
65,0:40:5:416,   15.00,    1.24,    1.23,    1.21,    1.17,    1.22,    0.02
66,0:40:5:524,   15.95,    1.66,    1.68,    0.04,    1.74,    1.60,    0.02
67,0:40:5:630,   15.51,    1.81,    1.77,    0.08,    1.76,    1.86,    0.08
68,0:40:5:739,   19.05,    2.11,    1.85,    1.75,    1.61,    1.76,    0.97
69,0:40:5:847,   16.44,    1.11,    1.17,    0.86,    1.84,    0.84,    1.31
70,0:40:5:946,   15.89,    1.19,    1.21,    0.83,    1.12,    0.94,    1.41
71,0:40:6:046,   15.09,    1.03,    1.21,    0.87,    1.17,    0.92,    0.76
72,0:40:6:155,   15.92,    1.47,    1.43,    1.26,    1.35,    1.52,    0.02
73,0:40:6:263,   16.13,    1.45,    1.62,    1.21,    1.48,    1.42,    0.02
74,0:40:6:363,   15.95,    1.52,    1.62,    1.04,    1.39,    1.49,    0.01
75,0:40:6:472,   16.37,    1.71,    1.59,    1.04,    1.76,    1.84,    0.01
76,0:40:6:580,   17.16,    1.69,    1.64,    0.85,    1.78,    1.84,    0.11
77,0:40:6:688,   18.71,    2.22,    1.73,    1.69,    1.86,    2.24,    0.05
78,0:40:6:795,   19.37,    1.99,    1.93,    1.47,    1.99,    1.64,    1.49
79,0:40:6:896,   18.42,    1.74,    1.79,    1.41,    1.76,    1.54,    1.24
80,0:40:7:002,   20.06,    2.07,    2.01,    1.94,    1.87,    1.88,    1.58
81,0:40:7:107,   24.80,    3.04,    2.99,    3.14,    2.97,    3.22,    2.77
82,0:40:7:213,   24.01,    3.10,    2.84,    2.60,    2.93,    2.62,    2.16
83,0:40:7:319,   15.48,    1.11,    1.00,    0.78,    1.01,    0.76,    1.15
84,0:40:7:427,   13.67,    1.00,    1.22,    0.76,    1.18,    0.81,    0.51
85,0:40:7:534,   15.24,    1.43,    1.49,    1.16,    1.36,    1.06,    0.02
86,0:40:7:642,   16.39,    1.80,    1.76,    0.03,    1.94,    1.86,    0.06
87,0:40:7:749,   17.74,    1.75,    2.06,    1.81,    1.64,    1.79,    0.01
88,0:40:7:857,   17.70,    1.71,    1.85,    1.60,    1.60,    1.58,    0.01
89,0:40:7:964,   18.53,    1.80,    1.91,    1.35,    1.58,    1.45,    1.55
90,0:40:8:072,   15.73,    1.17,    1.36,    0.95,    1.32,    0.94,    0.63
91,0:40:8:180,   15.78,    1.55,    1.40,    1.06,    1.46,    1.18,    0.02
92,0:40:8:287,   13.71,    1.19,    1.26,    0.01,    1.23,    0.97,    0.02
93,0:40:8:393,   13.20,    1.21,    1.41,    0.02,    1.44,    0.29,    0.01
94,0:40:8:493,   13.75,    1.59,    1.76,    0.02,    2.04,    0.02,    0.02
95,0:40:8:601,   14.44,    1.70,    1.78,    0.01,    1.83,    0.73,    0.09
96,0:40:8:710,   16.84,    1.67,    1.74,    1.80,    1.69,    1.59,    0.02
97,0:40:8:811,   16.85,    1.47,    1.47,    1.35,    1.44,    1.42,    0.02
98,0:40:8:912,   17.07,    1.46,    1.89,    1.56,    1.56,    1.30,    0.72
99,0:40:9:021,   15.71,    1.12,    1.31,    0.72,    1.27,    0.86,    0.99
100,0:40:9:129,   17.44,    1.76,    2.05,    1.40,    1.82,    1.35,    0.93
101,0:40:9:229,   16.42,    1.27,    1.55,    0.76,    1.60,    1.06,    1.48
102,0:40:9:338,   14.88,    1.27,    1.35,    0.01,    1.20,    1.18,    0.01
103,0:40:9:446,   14.35,    1.48,    1.31,    0.22,    1.40,    0.98,    0.03
104,0:40:9:555,   16.33,    1.69,    1.60,    1.31,    1.49,    1.41,    0.65
105,0:40:9:663,   17.72,    1.57,    1.54,    1.46,    1.56,    1.24,    1.47
106,0:40:9:770,   16.66,    1.51,    1.53,    1.51,    1.60,    1.58,    0.02
107,0:40:9:880,   18.07,    1.71,    1.84,    1.56,    1.72,    1.69,    0.02
108,0:40:9:986,   16.53,    1.66,    1.55,    0.77,    1.57,    1.30,    0.01
109,0:40:10:093,   17.61,    1.70,    1.83,    1.44,    1.89,    1.71,    0.04
110,0:40:10:202,   16.38,    1.31,    1.53,    1.29,    1.54,    1.21,    0.03
111,0:40:10:309,   16.45,    1.53,    1.34,    1.20,    1.27,    1.25,    0.01
112,0:40:10:409,   15.61,    1.22,    1.71,    1.50,    1.67,    1.30,    0.03
113,0:40:10:515,   17.91,    1.83,    1.94,    1.84,    1.92,    1.83,    0.43
114,0:40:10:615,   20.94,    2.05,    2.30,    1.95,    2.15,    2.09,    1.88
115,0:40:10:716,   18.03,    1.50,    1.55,    1.28,    1.52,    1.11,    0.45
116,0:40:10:824,   15.51,    1.24,    1.79,    1.41,    1.43,    1.31,    0.03
117,0:40:10:932,   17.45,    1.67,    1.52,    1.14,    1.37,    1.30,    0.01
118,0:40:11:032,   15.39,    1.27,    1.45,    1.06,    1.78,    1.41,    0.01
119,0:40:11:140,   16.16,    1.30,    1.28,    1.11,    1.27,    1.09,    0.01
120,0:40:11:249,   13.44,    0.93,    1.12,    1.02,    0.98,    0.89,    0.03
121,0:40:11:355,   14.11,    1.05,    1.22,    1.04,    1.17,    1.02,    0.01
122,0:40:11:457,   14.61,    1.29,    1.62,    0.04,    1.65,    1.45,    0.01
123,0:40:11:563,   15.22,    1.52,    1.68,    0.02,    1.67,    1.51,    0.10
124,0:40:11:663,   15.11,    1.41,    1.70,    0.01,    1.72,    1.47,    0.01
125,0:40:11:770,   15.34,    1.50,    1.56,    0.03,    1.50,    1.37,    0.03
