AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-17-2026_13-03-33,
Profile Duration:,900 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,13:3:33:851,   16.17,    1.55,    2.08,    0.79,    2.19,    1.15,    0.97
2,13:3:33:960,   14.17,    1.49,    1.60,    0.02,    1.50,    1.06,    0.02
3,13:3:34:069,   13.65,    1.26,    1.51,    0.02,    1.56,    1.08,    0.02
4,13:3:34:178,   13.01,    1.23,    1.25,    0.02,    1.30,    0.91,    0.01
5,13:3:34:286,   13.24,    1.28,    1.70,    0.12,    1.50,    1.14,    0.03
6,13:3:34:393,   11.70,    0.84,    1.10,    0.56,    1.07,    0.60,    0.05
7,13:3:34:501,   11.99,    1.02,    1.10,    0.20,    1.21,    0.24,    0.02
8,13:3:34:608,   10.49,    0.97,    0.97,    0.01,    0.97,    0.01,    0.01
9,13:3:34:717,   11.77,    1.18,    1.21,    0.02,    1.28,    0.01,    0.01
10,13:3:34:817,   11.56,    1.14,    1.31,    0.01,    1.30,    0.01,    0.01
11,13:3:34:917,   12.84,    1.28,    1.52,    0.02,    1.61,    0.01,    0.01
12,13:3:35:026,   12.18,    0.96,    1.41,    0.03,    1.24,    0.70,    0.02
13,13:3:35:134,   12.91,    1.02,    1.46,    0.01,    1.12,    0.95,    0.01
14,13:3:35:243,   10.62,    0.79,    0.89,    0.02,    0.85,    0.58,    0.01
15,13:3:35:351,   14.73,    1.67,    1.71,    0.02,    1.68,    1.52,    0.03
16,13:3:35:456,   17.86,    1.85,    2.06,    1.42,    2.03,    1.70,    0.08
17,13:3:35:563,   15.47,    1.61,    1.86,    0.44,    1.90,    1.22,    0.01
18,13:3:35:670,   20.74,    2.80,    2.66,    1.93,    2.84,    2.41,    0.37
19,13:3:35:774,   23.48,    2.95,    3.09,    2.61,    3.27,    2.82,    2.47
20,13:3:35:884,   15.61,    1.32,    1.52,    0.81,    1.57,    0.93,    0.33
21,13:3:35:993,   14.16,    1.13,    1.32,    0.73,    1.40,    0.83,    0.01
22,13:3:36:092,   14.16,    1.09,    1.65,    0.84,    1.27,    0.84,    0.01
23,13:3:36:201,   11.28,    0.92,    0.93,    0.03,    1.03,    0.76,    0.02
24,13:3:36:301,   10.92,    0.93,    1.15,    0.02,    1.12,    0.30,    0.01
25,13:3:36:400,   11.39,    1.12,    1.23,    0.01,    1.14,    0.01,    0.07
26,13:3:36:508,   13.97,    1.62,    1.69,    0.01,    1.92,    0.67,    0.03
27,13:3:36:608,   18.68,    2.20,    3.15,    1.21,    2.93,    2.09,    0.02
28,13:3:36:716,   19.21,    2.32,    2.87,    1.48,    2.97,    2.06,    0.02
29,13:3:36:824,   17.02,    1.64,    2.34,    1.32,    2.06,    1.42,    0.02
30,13:3:36:933,   17.25,    1.63,    1.44,    1.59,    1.81,    1.61,    0.04
31,13:3:37:042,   13.33,    1.06,    1.11,    0.66,    1.31,    0.74,    0.03
32,13:3:37:149,   17.12,    1.84,    2.06,    1.16,    2.31,    1.78,    0.03
33,13:3:37:257,   15.60,    1.35,    1.40,    1.18,    1.44,    1.66,    0.01
34,13:3:37:367,   13.95,    1.46,    1.33,    0.30,    1.26,    1.13,    0.02
35,13:3:37:476,   15.18,    1.24,    1.40,    1.14,    1.46,    1.31,    0.08
36,13:3:37:578,   14.60,    1.14,    1.76,    1.14,    1.45,    1.05,    0.01
37,13:3:37:686,   14.49,    1.32,    1.38,    1.16,    1.26,    1.01,    0.01
38,13:3:37:786,   11.79,    0.84,    1.06,    0.40,    1.02,    0.78,    0.03
39,13:3:37:892,   13.47,    1.04,    1.50,    0.01,    1.29,    1.22,    0.01
40,13:3:38:000,   14.31,    1.32,    1.57,    0.01,    1.72,    1.16,    0.01
41,13:3:38:099,   13.26,    1.06,    1.28,    0.01,    1.72,    0.84,    0.01
42,13:3:38:200,   12.02,    1.10,    1.17,    0.01,    1.26,    0.91,    0.01
43,13:3:38:310,   14.72,    1.58,    1.41,    1.03,    1.34,    1.33,    0.01
45,13:3:38:524,   21.08,    1.78,    2.00,    1.97,    2.16,    2.32,    2.14
46,13:3:38:624,   15.59,    1.45,    1.59,    0.36,    1.70,    2.14,    0.56
47,13:3:38:724,   15.08,    1.47,    1.48,    0.01,    1.75,    1.43,    0.01
48,13:3:38:833,   15.64,    1.68,    1.53,    0.01,    1.82,    1.29,    0.01
49,13:3:38:943,   18.43,    2.09,    1.90,    1.93,    1.76,    1.58,    0.08
50,13:3:39:050,   21.12,    2.42,    2.58,    1.80,    2.20,    1.99,    1.23
51,13:3:39:159,   18.71,    1.66,    1.92,    1.35,    1.75,    1.89,    1.52
52,13:3:39:267,   20.56,    2.42,    2.45,    2.03,    2.60,    1.38,    0.33
