AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-17-2026_18-11-07,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,18:11:7:646,   12.68,    0.80,    0.83,    0.62,    1.02,    0.94,    0.71
3,18:11:7:864,   13.89,    0.97,    0.97,    1.02,    0.81,    1.00,    1.10
4,18:11:7:971,   14.88,    1.32,    1.18,    1.34,    0.91,    1.19,    1.43
5,18:11:8:077,   15.52,    1.51,    1.43,    1.49,    0.87,    1.38,    1.51
6,18:11:8:183,   14.33,    1.23,    1.21,    1.20,    0.92,    1.26,    1.33
7,18:11:8:291,   10.08,    0.41,    0.42,    0.26,    0.82,    0.80,    0.49
8,18:11:8:398,   11.36,    0.51,    0.64,    0.37,    0.62,    0.89,    0.68
9,18:11:8:505,   10.46,    0.37,    0.74,    0.29,    0.64,    0.80,    0.42
10,18:11:8:605,   10.84,    0.41,    0.55,    0.33,    0.67,    0.81,    0.52
11,18:11:8:715,   11.50,    0.59,    0.69,    0.46,    0.70,    0.89,    0.68
12,18:11:8:822,   12.52,    0.81,    0.82,    0.78,    0.68,    0.98,    0.94
13,18:11:8:930,   14.60,    1.30,    1.09,    1.21,    0.96,    1.22,    0.37
14,18:11:9:038,   11.95,    0.58,    0.89,    0.62,    1.07,    0.94,    0.63
15,18:11:9:147,   12.41,    0.76,    0.81,    0.68,    0.84,    0.90,    0.92
16,18:11:9:256,   12.50,    0.97,    0.84,    0.79,    0.78,    0.87,    0.84
17,18:11:9:364,   10.56,    0.52,    0.71,    0.45,    1.01,    0.73,    0.03
18,18:11:9:466,   10.15,    0.41,    0.73,    0.37,    0.78,    0.66,    0.01
19,18:11:9:572,   11.77,    0.82,    0.80,    0.78,    0.76,    0.86,    0.01
20,18:11:9:679,   11.12,    0.46,    0.81,    0.47,    0.93,    0.74,    0.00
21,18:11:9:787,    9.95,    0.41,    0.68,    0.37,    1.21,    0.66,    0.01
22,18:11:9:889,   12.44,    0.92,    0.81,    0.97,    0.81,    0.89,    0.00
23,18:11:9:990,   10.60,    0.50,    0.69,    0.41,    1.06,    0.78,    0.02
24,18:11:10:096,   10.89,    0.65,    0.74,    0.56,    0.83,    0.65,    0.00
25,18:11:10:205,    9.95,    0.41,    0.66,    0.38,    0.88,    0.75,    0.00
26,18:11:10:307,   10.29,    0.54,    0.73,    0.29,    0.57,    0.89,    0.02
27,18:11:10:416,   13.09,    1.25,    1.02,    0.36,    0.51,    1.28,    0.04
28,18:11:10:525,   10.38,    0.46,    0.70,    0.46,    1.37,    0.65,    0.01
29,18:11:10:633,   12.02,    0.70,    0.95,    0.75,    0.90,    1.04,    0.01
30,18:11:10:733,   10.96,    0.51,    0.73,    0.45,    1.24,    1.08,    0.00
31,18:11:10:833,   11.53,    0.68,    0.78,    0.65,    0.94,    1.09,    0.15
32,18:11:10:934,   11.55,    0.65,    0.66,    0.62,    0.86,    0.72,    0.79
33,18:11:11:043,   10.72,    0.40,    0.58,    0.28,    0.77,    0.81,    0.48
34,18:11:11:152,    9.83,    0.44,    0.35,    0.23,    0.80,    0.48,    0.36
35,18:11:11:259,   10.07,    0.41,    0.42,    0.35,    0.70,    0.76,    0.01
36,18:11:11:359,    9.55,    0.39,    0.42,    0.31,    0.80,    0.62,    0.03
37,18:11:11:467,    9.48,    0.41,    0.40,    0.19,    0.49,    0.59,    0.00
38,18:11:11:574,    9.52,    0.47,    0.78,    0.01,    0.66,    0.64,    0.00
