AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-19-2026_16-14-17,
Profile Duration:,120 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,16:14:17:487,   18.13,    1.93,    2.56,    1.31,    2.51,    1.46,    0.28
2,16:14:17:587,   14.86,    1.35,    1.70,    0.89,    1.68,    1.11,    0.03
3,16:14:17:688,   14.02,    1.02,    1.28,    0.73,    1.32,    0.88,    0.02
4,16:14:17:793,   14.52,    1.22,    1.39,    0.74,    1.47,    0.84,    0.02
5,16:14:17:897,   15.10,    1.35,    1.40,    0.75,    1.59,    1.15,    0.01
6,16:14:18:000,   13.39,    1.22,    1.21,    0.02,    1.28,    0.86,    0.03
7,16:14:18:106,   12.82,    1.19,    1.20,    0.01,    1.09,    0.84,    0.01
8,16:14:18:206,   12.56,    1.25,    1.13,    0.02,    1.12,    0.84,    0.01
9,16:14:18:308,   15.95,    1.59,    1.98,    0.01,    1.83,    1.37,    0.01
10,16:14:18:413,   14.13,    1.23,    1.40,    0.01,    1.46,    1.03,    0.01
11,16:14:18:519,   12.74,    1.20,    1.09,    0.04,    1.15,    0.76,    0.06
12,16:14:18:628,   13.72,    1.17,    1.26,    0.01,    1.32,    0.94,    0.02
13,16:14:18:731,   13.30,    1.18,    1.19,    0.03,    1.24,    0.91,    0.02
14,16:14:18:841,   15.07,    1.51,    1.68,    0.02,    1.66,    1.14,    0.01
15,16:14:18:944,   14.95,    1.49,    1.57,    0.03,    1.42,    1.16,    0.01
16,16:14:19:046,   14.40,    1.39,    1.30,    0.02,    1.39,    1.11,    0.01
17,16:14:19:151,   15.59,    1.63,    1.58,    0.02,    1.56,    1.48,    0.06
18,16:14:19:254,   16.27,    1.62,    1.84,    0.04,    1.78,    1.51,    0.04
19,16:14:19:354,   17.74,    1.85,    2.48,    0.03,    2.20,    1.60,    0.03
20,16:14:19:460,   19.70,    2.03,    2.28,    1.20,    2.34,    1.74,    0.02
21,16:14:19:570,   13.56,    1.31,    1.15,    0.54,    1.31,    0.79,    0.03
22,16:14:19:676,   12.96,    1.27,    1.00,    0.01,    1.13,    1.04,    0.02
23,16:14:19:782,   13.21,    1.29,    1.38,    0.03,    1.49,    0.56,    0.02
24,16:14:19:887,   13.31,    1.23,    1.35,    0.01,    1.19,    1.07,    0.02
25,16:14:19:988,   13.89,    1.31,    1.35,    0.01,    1.29,    1.15,    0.01
26,16:14:20:091,   12.89,    1.36,    1.45,    0.04,    1.50,    0.03,    0.05
27,16:14:20:192,   13.67,    1.34,    1.57,    0.02,    1.36,    0.43,    0.03
28,16:14:20:297,   13.79,    1.25,    1.25,    0.03,    1.55,    1.33,    0.02
29,16:14:20:405,   14.12,    1.23,    1.55,    0.05,    1.31,    1.14,    0.03
30,16:14:20:505,   13.18,    1.31,    1.34,    0.01,    1.18,    0.89,    0.03
31,16:14:20:606,   13.41,    1.40,    1.33,    0.03,    1.39,    0.47,    0.02
32,16:14:20:713,   13.28,    1.09,    1.27,    0.01,    1.13,    1.23,    0.04
33,16:14:20:817,   14.25,    1.37,    1.36,    0.05,    1.50,    1.59,    0.02
34,16:14:20:919,   15.82,    1.76,    1.88,    0.03,    1.56,    1.44,    0.02
35,16:14:21:025,   14.20,    1.30,    1.63,    0.03,    1.23,    1.34,    0.01
36,16:14:21:126,   14.14,    1.24,    1.44,    0.01,    1.32,    1.09,    0.01
37,16:14:21:227,   13.71,    1.24,    1.28,    0.04,    1.38,    0.96,    0.01
38,16:14:21:331,   14.72,    1.43,    1.44,    0.76,    1.39,    1.08,    0.09
39,16:14:21:437,   14.02,    1.23,    1.13,    0.82,    1.24,    1.12,    0.03
40,16:14:21:539,   15.72,    1.43,    2.11,    0.44,    1.63,    1.60,    0.02
41,16:14:21:641,   17.06,    1.49,    2.05,    1.35,    2.35,    1.27,    0.04
42,16:14:21:748,   16.20,    1.40,    1.62,    1.31,    1.52,    1.23,    0.02
43,16:14:21:853,   19.59,    2.03,    2.24,    1.75,    2.01,    1.74,    0.60
44,16:14:21:959,   20.56,    1.96,    2.08,    1.56,    2.01,    1.67,    1.67
45,16:14:22:068,   14.81,    1.18,    1.07,    0.68,    1.09,    0.72,    1.27
46,16:14:22:171,   14.44,    1.05,    1.03,    0.77,    1.11,    0.80,    0.81
47,16:14:22:274,   15.73,    1.35,    1.32,    0.97,    1.56,    1.36,    0.03
48,16:14:22:379,   15.19,    1.30,    1.45,    0.87,    1.39,    0.97,    0.02
49,16:14:22:479,   15.19,    1.35,    1.44,    0.99,    1.34,    1.02,    0.01
50,16:14:22:584,   13.53,    1.05,    1.26,    0.86,    1.12,    0.95,    0.03
51,16:14:22:691,   15.03,    1.32,    1.33,    1.04,    1.31,    1.03,    0.03
52,16:14:22:793,   15.28,    1.32,    1.44,    1.02,    1.31,    1.05,    0.01
53,16:14:22:895,   14.92,    1.34,    1.23,    0.90,    1.31,    1.05,    0.04
54,16:14:23:001,   14.94,    1.27,    1.19,    0.83,    1.42,    1.15,    0.03
55,16:14:23:108,   14.41,    1.22,    1.24,    0.98,    1.18,    0.97,    0.02
56,16:14:23:209,   17.99,    1.78,    1.87,    1.54,    1.85,    1.77,    0.64
57,16:14:23:315,   24.01,    2.76,    2.84,    2.40,    2.66,    2.52,    2.35
58,16:14:23:418,   22.78,    2.65,    2.62,    2.55,    2.72,    2.58,    2.49
59,16:14:23:518,   15.92,    1.17,    1.31,    0.86,    1.33,    0.79,    1.29
60,16:14:23:620,   14.25,    1.08,    1.14,    0.72,    1.08,    0.96,    0.52
61,16:14:23:728,   14.45,    1.15,    1.13,    0.85,    1.45,    1.09,    0.01
62,16:14:23:831,   15.24,    1.26,    1.43,    0.93,    1.48,    1.04,    0.04
63,16:14:23:937,   15.67,    1.30,    1.36,    0.95,    1.38,    1.08,    0.02
64,16:14:24:037,   13.64,    1.14,    1.13,    0.77,    1.21,    1.07,    0.03
65,16:14:24:146,   15.34,    1.41,    1.55,    1.05,    1.24,    1.13,    0.03
66,16:14:24:249,   15.18,    1.28,    1.47,    1.05,    1.39,    1.02,    0.02
67,16:14:24:350,   15.09,    1.26,    1.43,    0.91,    1.32,    1.18,    0.03
68,16:14:24:457,   19.19,    1.85,    1.99,    1.48,    1.75,    1.59,    1.05
69,16:14:24:557,   15.41,    1.13,    1.14,    1.09,    1.21,    1.18,    1.20
70,16:14:24:663,   16.16,    1.14,    1.20,    0.95,    1.24,    0.82,    1.38
71,16:14:24:769,   15.29,    1.24,    1.28,    0.87,    1.47,    1.04,    0.42
72,16:14:24:872,   15.94,    1.51,    1.50,    1.15,    1.60,    1.36,    0.03
73,16:14:24:973,   16.47,    1.52,    1.52,    1.20,    1.47,    1.36,    0.01
74,16:14:25:074,   14.65,    1.18,    1.35,    1.07,    1.27,    1.13,    0.13
75,16:14:25:180,   15.67,    1.20,    1.19,    0.84,    1.23,    0.75,    1.39
76,16:14:25:282,   15.07,    1.27,    1.40,    0.86,    1.32,    0.87,    0.51
77,16:14:25:389,   16.20,    1.45,    1.62,    1.17,    1.53,    1.28,    0.22
78,16:14:25:491,   16.46,    1.31,    1.30,    0.84,    1.34,    1.06,    1.45
79,16:14:25:591,   15.47,    1.13,    1.06,    0.70,    1.46,    0.84,    1.37
80,16:14:25:692,   17.43,    1.31,    1.76,    0.88,    1.69,    1.02,    1.26
81,16:14:25:793,   17.10,    1.74,    1.79,    1.31,    1.77,    1.32,    0.02
82,16:14:25:894,   17.24,    1.86,    1.63,    1.31,    1.76,    1.63,    0.14
83,16:14:25:999,   16.65,    1.34,    1.37,    1.16,    1.32,    1.12,    1.33
84,16:14:26:106,   15.71,    1.17,    1.21,    1.26,    1.15,    0.82,    1.36
85,16:14:26:207,   18.39,    1.70,    1.62,    1.18,    1.76,    1.30,    1.46
86,16:14:26:314,   18.59,    1.61,    1.76,    1.24,    1.60,    1.44,    1.64
87,16:14:26:416,   19.68,    1.57,    2.02,    1.25,    2.77,    1.46,    1.48
88,16:14:26:520,   19.35,    1.44,    2.42,    1.01,    1.83,    1.63,    1.55
89,16:14:26:624,   20.77,    2.23,    2.48,    1.42,    1.89,    1.94,    1.71
90,16:14:26:733,   25.02,    2.80,    2.79,    2.48,    2.67,    2.47,    2.23
91,16:14:26:840,   22.77,    2.39,    2.44,    2.26,    2.32,    1.92,    2.15
92,16:14:26:944,   21.61,    2.24,    2.50,    1.58,    2.48,    1.77,    1.77
93,16:14:27:051,   22.29,    2.62,    2.79,    2.22,    2.90,    2.20,    1.97
94,16:14:27:158,   20.57,    2.16,    2.52,    1.69,    2.60,    1.93,    1.82
95,16:14:27:265,   26.66,    3.23,    3.16,    3.23,    3.23,    2.99,    2.76
96,16:14:27:373,   20.98,    2.18,    2.17,    2.03,    2.28,    2.08,    1.95
97,16:14:27:479,   19.45,    1.92,    2.10,    1.46,    2.13,    1.34,    1.62
98,16:14:27:581,   18.61,    1.88,    1.98,    1.41,    1.95,    1.48,    1.64
