AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-20-2026_04-22-04,
Profile Duration:,3600 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,4:22:4:857,   21.31,    2.60,    2.78,    2.11,    2.70,    2.75,    2.24
2,4:22:4:958,   19.19,    2.51,    2.39,    1.82,    2.66,    1.89,    1.86
3,4:22:5:060,   16.67,    1.87,    2.49,    1.87,    2.05,    1.90,    0.02
4,4:22:5:162,   17.89,    2.36,    2.28,    1.94,    2.35,    1.86,    0.03
6,4:22:5:363,   21.14,    2.39,    2.89,    2.42,    2.91,    2.24,    2.21
7,4:22:5:464,   20.87,    2.52,    2.72,    1.88,    3.07,    2.60,    1.20
8,4:22:5:571,   20.46,    2.57,    2.28,    2.31,    2.46,    2.21,    2.46
9,4:22:5:670,   18.64,    2.45,    2.95,    2.18,    2.95,    2.42,    0.04
10,4:22:5:771,   20.09,    2.80,    2.75,    1.12,    2.74,    2.22,    1.16
11,4:22:5:874,   20.31,    2.61,    2.88,    1.86,    2.84,    2.35,    1.55
12,4:22:5:982,   19.50,    2.63,    2.82,    1.96,    3.02,    2.49,    0.02
13,4:22:6:084,   18.65,    2.50,    2.78,    2.61,    2.25,    2.78,    0.02
14,4:22:6:190,   19.47,    2.66,    2.88,    2.22,    2.63,    2.29,    0.05
15,4:22:6:296,   17.92,    2.52,    2.61,    2.63,    2.69,    1.95,    0.01
16,4:22:6:402,   15.99,    2.43,    2.16,    1.96,    2.54,    1.38,    0.03
17,4:22:6:505,   16.13,    2.41,    2.26,    1.30,    2.86,    0.77,    0.02
18,4:22:6:606,   14.25,    2.57,    2.28,    1.01,    2.24,    0.58,    0.05
19,4:22:6:710,   14.67,    2.34,    2.26,    0.06,    2.27,    0.96,    0.01
20,4:22:6:813,   13.80,    1.63,    2.93,    0.02,    2.54,    0.01,    0.01
21,4:22:6:915,   13.91,    2.70,    2.01,    0.07,    2.74,    0.01,    0.01
22,4:22:7:018,   14.43,    2.58,    2.14,    0.02,    3.11,    0.01,    0.01
23,4:22:7:123,   13.23,    1.16,    3.44,    0.09,    1.85,    0.01,    0.01
24,4:22:7:226,   14.48,    2.22,    2.47,    0.05,    2.88,    0.01,    0.01
25,4:22:7:328,   14.28,    2.31,    1.95,    0.10,    3.11,    0.01,    0.01
26,4:22:7:433,   15.01,    2.93,    2.82,    0.02,    2.12,    0.56,    0.01
27,4:22:7:533,   18.69,    2.66,    2.57,    0.09,    2.86,    2.44,    0.01
28,4:22:7:642,   22.77,    2.40,    2.54,    1.26,    2.83,    2.55,    1.44
29,4:22:7:750,   22.66,    2.70,    2.67,    2.51,    2.92,    2.47,    1.46
30,4:22:7:856,   24.75,    2.70,    3.00,    2.19,    2.89,    2.55,    2.50
31,4:22:7:964,   18.75,    2.62,    2.65,    2.20,    2.34,    2.37,    0.81
32,4:22:8:072,   18.12,    2.28,    2.58,    0.74,    1.97,    2.02,    0.70
33,4:22:8:181,   17.73,    1.98,    1.83,    1.69,    2.51,    1.05,    1.71
34,4:22:8:289,   16.66,    2.44,    2.16,    1.74,    2.99,    1.51,    0.04
35,4:22:8:396,   16.99,    2.21,    2.45,    0.71,    2.42,    1.99,    0.03
36,4:22:8:504,   20.60,    2.62,    2.57,    1.38,    2.62,    2.27,    1.84
37,4:22:8:612,   17.76,    2.31,    2.86,    2.13,    1.77,    2.22,    0.77
38,4:22:8:720,   17.13,    2.21,    1.92,    1.32,    2.84,    1.72,    0.01
39,4:22:8:828,   18.42,    2.23,    2.36,    1.41,    2.66,    2.40,    0.01
40,4:22:8:936,   16.46,    2.65,    2.47,    1.52,    2.16,    1.52,    0.01
41,4:22:9:046,   17.01,    2.52,    2.63,    0.95,    2.69,    2.16,    0.01
