AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-13-2026_23-38-33,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,23:38:33:549,   22.66,    2.71,    2.65,    2.29,    3.00,    2.75,    2.20
2,23:38:33:656,   22.31,    2.82,    2.72,    2.35,    3.19,    2.25,    2.00
3,23:38:33:756,   21.27,    2.38,    3.04,    1.87,    2.61,    2.42,    1.70
4,23:38:33:859,   21.06,    2.34,    2.88,    1.86,    2.48,    2.05,    1.86
6,23:38:34:072,   20.08,    2.28,    2.16,    1.82,    2.99,    1.77,    1.87
7,23:38:34:173,   20.10,    2.47,    2.38,    1.76,    2.30,    1.99,    1.92
8,23:38:34:278,   21.19,    2.41,    2.47,    1.94,    1.93,    1.93,    2.03
9,23:38:34:382,   20.80,    2.32,    2.20,    1.91,    2.31,    1.89,    1.98
10,23:38:34:481,   22.47,    2.66,    2.88,    2.45,    2.36,    2.44,    2.08
11,23:38:34:588,   20.43,    2.11,    2.43,    1.90,    2.52,    1.96,    1.77
12,23:38:34:688,   17.72,    1.57,    2.11,    1.41,    2.45,    1.38,    1.61
13,23:38:34:792,   18.90,    1.92,    2.04,    1.47,    1.96,    1.60,    1.70
14,23:38:34:892,   18.30,    1.85,    2.45,    1.69,    2.19,    1.59,    0.89
15,23:38:35:001,   19.45,    2.14,    2.22,    1.43,    1.88,    1.82,    1.71
16,23:38:35:102,   21.10,    2.52,    2.52,    2.28,    1.98,    2.23,    2.07
17,23:38:35:207,   21.35,    2.29,    3.00,    2.30,    1.96,    2.42,    2.21
18,23:38:35:307,   22.77,    2.75,    2.75,    2.46,    2.24,    2.45,    2.36
19,23:38:35:408,   21.03,    2.43,    2.36,    2.12,    2.77,    2.16,    1.50
20,23:38:35:509,   19.96,    2.35,    2.44,    1.88,    2.58,    2.02,    1.68
21,23:38:35:616,   18.81,    2.04,    2.73,    1.68,    2.48,    2.05,    1.46
22,23:38:35:725,   18.66,    2.51,    2.48,    0.89,    2.22,    2.14,    0.01
23,23:38:35:828,   17.70,    2.19,    2.37,    1.44,    2.69,    1.68,    0.00
24,23:38:35:933,   15.27,    1.42,    2.04,    1.08,    2.05,    1.12,    0.04
25,23:38:36:034,   15.47,    1.40,    2.12,    1.00,    1.92,    1.31,    0.00
26,23:38:36:135,   11.72,    1.09,    1.25,    0.14,    2.29,    0.09,    0.03
27,23:38:36:239,   12.66,    1.45,    1.37,    0.00,    2.02,    0.81,    0.00
28,23:38:36:346,   17.51,    1.85,    2.08,    1.62,    1.48,    1.68,    0.73
29,23:38:36:448,   17.04,    1.65,    1.72,    1.07,    2.07,    1.26,    1.71
30,23:38:36:554,   20.46,    2.62,    2.71,    2.40,    1.58,    2.49,    1.46
31,23:38:36:657,   18.09,    2.04,    2.56,    1.21,    2.93,    1.39,    1.47
32,23:38:36:767,   15.66,    1.83,    2.25,    0.01,    2.11,    1.07,    0.00
33,23:38:36:868,   12.83,    0.89,    1.39,    0.01,    2.28,    1.07,    0.02
34,23:38:36:969,   12.09,    1.13,    0.90,    0.02,    1.83,    0.00,    0.00
35,23:38:37:072,   11.51,    0.60,    1.79,    0.01,    2.37,    0.00,    0.00
36,23:38:37:173,   13.40,    1.75,    2.26,    0.02,    2.22,    0.12,    0.05
37,23:38:37:279,   14.45,    1.51,    1.93,    0.02,    1.71,    1.30,    0.01
38,23:38:37:383,   13.50,    1.48,    2.20,    0.01,    1.87,    0.56,    0.00
39,23:38:37:484,   12.79,    1.31,    1.95,    0.03,    1.63,    0.98,    0.04
40,23:38:37:589,   10.73,    0.88,    0.88,    0.01,    1.42,    0.85,    0.07
41,23:38:37:692,   11.55,    0.79,    1.18,    0.02,    1.13,    0.53,    0.00
42,23:38:37:793,    9.35,    0.77,    1.01,    0.00,    1.31,    0.00,    0.00
43,23:38:37:894,   11.52,    1.12,    1.92,    0.00,    1.16,    0.00,    0.00
44,23:38:37:996,   13.17,    1.14,    2.27,    0.04,    1.53,    0.24,    0.08
45,23:38:38:098,   15.64,    2.02,    1.93,    0.73,    2.02,    1.68,    0.00
46,23:38:38:201,   15.96,    1.86,    1.27,    1.60,    2.21,    1.48,    0.03
47,23:38:38:307,   15.07,    1.59,    1.86,    0.58,    1.93,    1.49,    0.01
48,23:38:38:410,   12.89,    1.10,    1.66,    0.48,    2.19,    0.72,    0.00
49,23:38:38:512,   12.39,    1.33,    1.19,    0.46,    1.71,    1.08,    0.07
50,23:38:38:618,   14.98,    1.37,    2.27,    0.35,    1.05,    1.47,    0.03
52,23:38:38:823,   13.22,    1.22,    1.01,    0.71,    1.14,    0.74,    0.00
53,23:38:38:926,    8.96,    0.38,    1.11,    0.15,    1.21,    0.23,    0.00
54,23:38:39:028,   13.11,    1.39,    0.89,    0.02,    0.83,    0.02,    0.04
55,23:38:39:135,   13.17,    1.61,    2.07,    0.00,    1.87,    0.59,    0.00
56,23:38:39:237,   11.80,    1.01,    2.43,    0.00,    1.62,    2.03,    0.00
57,23:38:39:341,   12.95,    1.38,    0.70,    0.05,    0.78,    0.87,    0.06
58,23:38:39:445,   11.22,    1.00,    1.83,    0.00,    1.68,    0.87,    0.00
59,23:38:39:549,    9.56,    0.27,    1.14,    0.04,    1.29,    0.26,    0.07
60,23:38:39:654,    7.92,    0.01,    1.14,    0.00,    1.29,    0.00,    0.00
61,23:38:39:753,    8.61,    0.01,    0.54,    0.03,    0.96,    0.01,    0.00
62,23:38:39:855,    7.89,    0.01,    0.78,    0.01,    0.84,    0.01,    0.03
63,23:38:39:960,    8.72,    0.30,    0.51,    0.01,    0.74,    0.01,    0.02
64,23:38:40:061,    8.05,    0.53,    0.75,    0.01,    0.76,    0.01,    0.05
65,23:38:40:161,   10.40,    0.85,    0.62,    0.01,    0.77,    0.49,    0.01
66,23:38:40:267,    9.36,    0.31,    0.96,    0.01,    1.25,    0.27,    0.02
67,23:38:40:368,    8.59,    0.17,    0.45,    0.01,    1.17,    0.12,    0.00
68,23:38:40:468,   13.89,    1.21,    0.67,    0.02,    0.65,    0.92,    0.03
69,23:38:40:574,   16.49,    1.74,    1.43,    1.24,    1.57,    1.62,    0.48
70,23:38:40:674,   15.12,    1.25,    2.14,    0.91,    2.00,    1.12,    1.12
71,23:38:40:775,   14.79,    1.21,    1.50,    0.89,    1.35,    1.05,    0.59
72,23:38:40:878,   14.66,    1.36,    1.60,    1.01,    1.68,    1.11,    0.01
73,23:38:40:987,   15.40,    1.36,    1.49,    1.13,    1.37,    1.30,    0.07
74,23:38:41:087,   15.62,    1.34,    1.76,    1.09,    1.87,    1.14,    1.07
75,23:38:41:191,   15.05,    1.43,    1.38,    1.25,    1.69,    1.30,    0.56
76,23:38:41:295,   15.08,    1.45,    1.23,    1.18,    1.56,    1.28,    0.01
77,23:38:41:400,   14.08,    1.09,    1.87,    0.61,    1.95,    0.73,    0.87
78,23:38:41:508,   13.82,    0.90,    1.40,    0.49,    1.51,    0.74,    1.22
79,23:38:41:608,   12.33,    0.76,    1.38,    0.38,    1.41,    0.56,    0.79
80,23:38:41:713,   11.97,    1.03,    0.85,    0.05,    1.13,    0.77,    0.06
81,23:38:41:817,   14.25,    1.38,    1.10,    0.00,    1.28,    1.34,    0.01
82,23:38:41:925,   14.97,    1.62,    1.55,    0.03,    1.64,    1.53,    0.01
83,23:38:42:033,   14.20,    1.31,    2.05,    0.02,    1.71,    1.11,    0.01
84,23:38:42:140,   16.34,    1.61,    1.93,    1.06,    1.74,    1.66,    0.01
85,23:38:42:241,   14.55,    1.76,    2.09,    0.48,    1.70,    0.48,    0.02
86,23:38:42:343,   22.88,    3.50,    1.83,    1.76,    2.00,    3.34,    0.38
87,23:38:42:447,   22.33,    2.70,    3.53,    2.69,    3.32,    2.44,    2.47
88,23:38:42:557,   16.60,    2.03,    2.51,    1.14,    2.57,    1.37,    0.35
89,23:38:42:659,   15.46,    1.57,    2.32,    0.95,    2.33,    1.21,    0.00
90,23:38:42:763,   14.46,    1.40,    1.90,    0.01,    1.91,    1.16,    0.04
91,23:38:42:868,   13.13,    1.15,    1.68,    0.02,    1.63,    0.96,    0.02
92,23:38:42:977,   14.03,    1.14,    1.44,    0.00,    1.31,    1.28,    0.01
93,23:38:43:081,   13.77,    1.14,    1.51,    0.00,    1.91,    1.23,    0.02
94,23:38:43:181,   14.41,    1.30,    1.46,    0.00,    1.56,    1.31,    0.02
95,23:38:43:291,   16.16,    1.89,    1.56,    1.06,    1.57,    1.35,    0.01
96,23:38:43:395,   15.26,    1.39,    2.67,    0.72,    2.20,    1.35,    0.00
97,23:38:43:496,   13.19,    1.17,    2.22,    0.01,    1.59,    1.36,    0.02
98,23:38:43:600,   14.08,    1.05,    1.19,    0.79,    1.27,    0.65,    0.07
99,23:38:43:702,   14.86,    1.20,    1.42,    0.89,    1.74,    0.83,    0.01
100,23:38:43:804,   13.07,    1.12,    1.49,    0.56,    1.74,    0.71,    0.00
101,23:38:43:907,   13.84,    1.09,    1.55,    0.40,    0.99,    1.03,    0.02
102,23:38:44:008,   13.96,    1.39,    1.67,    0.01,    1.43,    1.07,    0.02
103,23:38:44:107,   15.26,    1.53,    1.76,    0.02,    1.49,    1.51,    0.02
104,23:38:44:210,   14.67,    1.51,    1.73,    0.03,    1.80,    1.45,    0.03
105,23:38:44:310,   14.39,    1.55,    1.59,    0.03,    1.78,    1.24,    0.03
106,23:38:44:418,   14.78,    1.59,    1.88,    0.15,    1.44,    1.32,    0.02
107,23:38:44:519,   14.27,    1.31,    2.06,    0.76,    1.80,    0.97,    0.07
108,23:38:44:622,   16.82,    1.49,    1.51,    1.02,    1.57,    1.14,    1.09
109,23:38:44:724,   16.59,    1.59,    1.96,    1.21,    2.21,    1.33,    0.75
110,23:38:44:825,   16.69,    1.68,    1.76,    1.36,    1.84,    1.31,    0.03
111,23:38:44:930,   16.20,    1.52,    1.92,    1.41,    1.81,    1.37,    0.01
112,23:38:45:034,   14.89,    1.21,    1.91,    0.85,    1.90,    1.08,    0.03
113,23:38:45:134,   13.84,    1.21,    1.82,    0.37,    1.86,    1.27,    0.00
