AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-14-2026_11-48-48,
Profile Duration:,120 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,11:48:48:977,   12.26,    1.14,    1.44,    0.17,    1.81,    0.67,    0.02
2,11:48:49:083,   11.97,    1.00,    1.44,    0.01,    1.86,    0.60,    0.02
3,11:48:49:191,   15.95,    2.10,    2.38,    0.02,    2.55,    1.56,    0.02
4,11:48:49:300,   12.52,    0.93,    1.51,    0.00,    2.13,    1.05,    0.00
5,11:48:49:407,   16.16,    1.78,    2.23,    0.02,    2.44,    1.53,    0.00
6,11:48:49:507,   15.83,    1.96,    2.06,    0.62,    2.22,    1.64,    0.04
7,11:48:49:615,   16.19,    1.81,    1.61,    1.59,    1.93,    1.61,    0.02
8,11:48:49:724,   16.96,    1.86,    1.88,    1.28,    2.36,    1.57,    0.00
9,11:48:49:832,   14.85,    1.34,    1.83,    0.75,    2.27,    1.15,    0.02
10,11:48:49:940,   12.29,    1.04,    1.58,    0.02,    1.70,    0.89,    0.03
11,11:48:50:049,   13.49,    1.30,    2.00,    0.01,    1.80,    0.88,    0.02
12,11:48:50:157,   11.65,    1.19,    1.89,    0.00,    1.63,    0.00,    0.00
13,11:48:50:265,   11.94,    1.19,    1.89,    0.00,    1.78,    0.00,    0.03
14,11:48:50:372,   11.51,    1.09,    1.87,    0.00,    1.57,    0.00,    0.00
15,11:48:50:472,   11.68,    1.17,    1.87,    0.06,    1.74,    0.00,    0.00
16,11:48:50:581,   13.56,    1.75,    2.15,    0.01,    1.77,    0.31,    0.04
17,11:48:50:689,   13.03,    1.19,    2.00,    0.00,    1.38,    0.96,    0.01
