AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-14-2026_12-11-16,
Profile Duration:,3600 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,12:11:16:950,    9.62,    0.71,    0.70,    0.62,    0.84,    0.67,    0.00
2,12:11:17:056,    8.86,    0.42,    0.71,    0.57,    0.78,    0.47,    0.03
3,12:11:17:162,    9.92,    0.72,    0.92,    0.56,    0.90,    0.70,    0.00
4,12:11:17:268,   13.43,    1.45,    1.35,    1.32,    1.32,    1.36,    0.94
5,12:11:17:375,   10.76,    0.81,    0.92,    0.70,    0.75,    0.79,    1.08
6,12:11:17:483,   10.95,    0.74,    0.90,    0.67,    0.75,    0.64,    1.03
7,12:11:17:589,    8.89,    0.74,    0.81,    0.03,    0.69,    0.69,    0.16
8,12:11:17:695,    9.51,    0.73,    0.92,    0.36,    0.68,    0.70,    0.01
9,12:11:17:801,    8.22,    0.24,    0.69,    0.24,    0.78,    0.23,    0.01
10,12:11:17:901,    7.91,    0.24,    0.30,    0.19,    0.64,    0.25,    0.01
11,12:11:18:009,    9.32,    0.53,    0.72,    0.58,    0.76,    0.68,    0.01
12,12:11:18:119,    9.46,    0.80,    1.11,    0.77,    0.58,    0.45,    0.00
13,12:11:18:218,    9.58,    0.55,    0.87,    0.62,    0.62,    0.62,    0.02
14,12:11:18:326,   11.30,    0.94,    1.06,    0.91,    0.94,    1.03,    0.01
15,12:11:18:433,   11.88,    1.08,    1.26,    1.01,    1.52,    0.96,    0.00
16,12:11:18:540,    9.36,    0.53,    0.95,    0.67,    0.63,    0.54,    0.02
17,12:11:18:649,    9.01,    0.71,    0.65,    0.43,    0.61,    0.43,    0.00
18,12:11:18:756,   11.75,    1.15,    0.92,    1.09,    0.95,    1.09,    0.01
20,12:11:18:970,    8.92,    0.45,    0.46,    0.40,    0.90,    0.38,    0.83
21,12:11:19:078,    8.14,    0.23,    0.24,    0.11,    0.26,    0.20,    0.65
22,12:11:19:187,    7.78,    0.19,    0.25,    0.01,    0.61,    0.55,    0.01
23,12:11:19:292,    7.31,    0.56,    0.43,    0.01,    0.56,    0.26,    0.06
24,12:11:19:401,    6.34,    0.38,    0.39,    0.00,    0.40,    0.09,    0.00
25,12:11:19:508,    6.76,    0.59,    0.49,    0.01,    0.22,    0.01,    0.01
26,12:11:19:616,    8.27,    0.72,    0.81,    0.00,    0.47,    0.00,    0.00
27,12:11:19:717,    9.04,    0.88,    1.06,    0.01,    0.90,    0.34,    0.01
28,12:11:19:822,    9.28,    0.86,    0.87,    0.03,    0.88,    0.89,    0.01
29,12:11:19:922,    8.75,    0.51,    0.76,    0.74,    1.02,    0.36,    0.01
